Date,SKU,daily_sales,rolling_mean_7,rolling_std_7,demand_change,volatility_ratio,forecast_error,ghost_flag,ghost_demand
2022-05-09,JNE3405-KR-M,10,8.571428571428571,7.207800007795787,-0.5652173913043479,0.8409099028033532,-13.0,-1,1
2022-05-10,JNE3405-KR-M,8,9.571428571428571,6.425396041156862,-0.19999999999999996,0.6713099640138551,-2.0,-1,1
2022-05-11,JNE3405-KR-M,22,11.571428571428571,7.870983480631943,1.75,0.6802083901600602,14.0,-1,1
2022-05-23,JNE3405-KR-M,2,10.714285714285714,8.616153157766824,-0.9090909090909091,0.8041742196686432,-20.0,-1,1
2022-05-26,JNE3405-KR-M,5,10.285714285714286,8.845230083954585,1.5,0.8599528412223917,3.0,-1,1
2022-05-27,JNE3405-KR-M,4,10.571428571428571,8.560707580902076,-0.19999999999999996,0.8097965864559248,-1.0,-1,1
2022-05-28,JNE3405-KR-M,1,7.428571428571429,7.1614044911395895,-0.75,0.9640350901871441,-3.0,-1,1
2022-06-01,JNE3405-KR-M,2,6.285714285714286,7.319250547113999,1.0,1.1644260381549028,1.0,-1,1
2022-06-05,JNE3405-KR-M,1,5.285714285714286,7.521398046336105,-0.5,1.4229669287455198,-1.0,-1,1
2022-04-07,JNE3405-KR-S,11,7.142857142857143,5.5805785670356025,-0.3529411764705882,0.7812808900056597,-6.0,-1,1
2022-04-08,JNE3405-KR-S,13,8.0,6.0,0.18181818181818188,0.7499999062500118,2.0,-1,1
2022-04-09,JNE3405-KR-S,20,10.571428571428571,6.80336051416609,0.5384615384615385,0.6435610688410156,7.0,-1,1
2022-04-10,JNE3405-KR-S,16,12.285714285714286,6.369570517030844,-0.19999999999999996,0.5184533719772361,-4.0,-1,1
2022-04-11,JNE3405-KR-S,17,14.571428571428571,4.1173269183271035,0.0625,0.2825616318662579,1.0,-1,1
2022-04-12,JNE3405-KR-S,12,15.142857142857142,3.2366943748507495,-0.2941176470588235,0.21374395403535443,-5.0,-1,1
2022-04-13,JNE3405-KR-S,3,13.142857142857142,5.459809869356607,-0.75,0.4154202845386333,-9.0,-1,1
2022-04-14,JNE3405-KR-S,2,11.857142857142858,6.914443130833011,-0.33333333333333337,0.5831457570338648,-1.0,-1,1
2022-04-15,JNE3405-KR-S,1,10.142857142857142,7.988086367179803,-0.5,0.787557733202176,-1.0,-1,1
2022-04-16,JNE3405-KR-S,2,7.571428571428571,7.138093649734568,1.0,0.9427669612976084,1.0,-1,1
2022-05-03,JNE3405-KR-S,24,5.142857142857143,8.375133261199917,5.0,1.6284978174698526,20.0,-1,1
2022-05-04,JNE3405-KR-S,8,6.0,8.306623862918075,-0.6666666666666667,1.3844370797468324,-16.0,-1,1
2022-05-05,JNE3405-KR-S,4,6.428571428571429,8.07995756707387,-0.5,1.2568820926964988,-4.0,-1,1
2022-05-07,JNE3405-KR-S,5,7.0,7.767453465154031,0.25,1.1096360507882828,1.0,-1,1
2022-05-08,JNE3405-KR-S,16,9.0,8.062257748298551,2.2,0.8958063169435816,11.0,-1,1
2022-05-09,JNE3405-KR-S,13,10.571428571428571,7.524562952029018,-0.1875,0.7117829146178747,-3.0,-1,1
2022-05-10,JNE3405-KR-S,10,11.428571428571429,6.97273602103562,-0.23076923076923073,0.6101143484556113,-3.0,-1,1
2022-05-11,JNE3405-KR-S,18,10.571428571428571,5.349677337844559,0.8,0.5060505111156532,8.0,-1,1
2022-05-12,JNE3405-KR-S,11,11.0,5.228129047119377,-0.38888888888888884,0.47528441562136015,-7.0,-1,1
2022-05-13,JNE3405-KR-S,10,11.857142857142858,4.298393941484482,-0.09090909090909094,0.3625151211178979,-1.0,-1,1
2022-05-17,JNE3405-KR-S,1,11.285714285714286,5.468524655221181,-0.9,0.4845527746161879,-9.0,-1,1
2022-06-02,JNE3405-KR-S,4,6.571428571428571,6.6044717895564995,3.0,1.0050281628630078,3.0,-1,1
2022-06-05,JNE3405-KR-S,7,5.0,4.358898943540674,0.75,0.8717796143522119,3.0,-1,1
2022-04-18,JNE3405-KR-XL,8,2.857142857142857,2.544836041121407,3.0,0.8906923026501864,6.0,-1,1
2022-04-19,JNE3405-KR-XL,11,3.857142857142857,4.0178174601214955,0.375,1.0416561084910263,3.0,-1,1
2022-04-20,JNE3405-KR-XL,6,4.571428571428571,3.8668308667927223,-0.4545454545454546,0.8458690670770496,-5.0,-1,1
2022-04-21,JNE3405-KR-XL,13,6.285714285714286,4.6084807950229365,1.1666666666666665,0.733167282567945,7.0,-1,1
2022-04-22,JNE3405-KR-XL,8,7.0,4.39696865275764,-0.3846153846153846,0.6281382892313359,-5.0,-1,1
2022-04-23,JNE3405-KR-XL,3,7.285714285714286,3.988077469754306,-0.625,0.5473831069921253,-5.0,-1,1
2022-04-29,JNE3405-KR-XL,6,5.571428571428571,4.117326918327103,2.0,0.739007262954843,4.0,-1,1
2022-04-30,JNE3405-KR-XL,17,7.142857142857143,5.984105932344765,1.8333333333333335,0.8377747132398072,11.0,-1,1
2022-05-01,JNE3405-KR-XL,13,7.142857142857143,5.984105932344765,-0.23529411764705888,0.8377747132398072,-4.0,-1,1
2022-05-02,JNE3405-KR-XL,16,8.285714285714286,6.8729975438737965,0.23076923076923084,0.8294996034589543,3.0,-1,1
2022-05-03,JNE3405-KR-XL,1,8.0,7.164728420068227,-0.9375,0.8955909405596608,-15.0,-1,1
2022-05-04,JNE3405-KR-XL,1,8.0,7.164728420068227,0.0,0.8955909405596608,0.0,-1,1
2022-05-05,JNE3405-KR-XL,1,7.857142857142857,7.312741652498773,0.0,0.9307124555000769,0.0,-1,1
2022-05-10,JNE3405-KR-XL,1,7.142857142857143,7.755182598937123,0.0,1.0857254118496393,0.0,-1,1
2022-05-13,JNE3405-KR-XL,1,4.857142857142857,6.64400911670485,0.0,1.3678839482866563,0.0,-1,1
2022-04-09,JNE3405-KR-XS,16,7.0,5.597618541248888,1.2857142857142856,0.7996596773698872,9.0,-1,1
2022-04-10,JNE3405-KR-XS,4,7.428571428571429,5.159365040297849,-0.75,0.694529815776466,-12.0,-1,1
2022-04-12,JNE3405-KR-XS,8,8.571428571428571,4.1576092031015,0.6000000000000001,0.48505435043883416,3.0,-1,1
